key_0,inv_uva,inv_innov,gender,birth,race,venture_nums,entrepreneur,first_venture_age,instate,family_ent,small_bus_exp,last_deg,last_field,founder,investor,board_member,early_emp
0,Not involved at all,Not very involved,Male,1945.0,White,0,0,,1.0,0.0,0.0,Ed.D.,Education,0,0,0,0
10,Not very involved,Somewhat involved,Female,1982.0,White,1,1,17.0,0.0,0.0,1.0,Ph.D.,Architecture,1,1,0,0
11,Somewhat involved,Very involved,Female,1974.0,White,1,1,,0.0,1.0,1.0,Ph.D.,Humanities,1,0,0,0
15,Not involved at all,Not involved at all,Female,1949.0,White,0,0,,0.0,1.0,1.0,Master's,Other,0,0,0,0
16,Not involved at all,Not involved at all,Female,1969.0,White,0,0,,1.0,1.0,0.0,Bachelor's,Social Sciences,0,0,0,0
17,Not involved at all,Not involved at all,Male,1950.0,White,1,1,33.0,1.0,0.0,1.0,M.D.,Medicine/Healthcare,1,0,0,1
19,Not involved at all,Not involved at all,Female,1958.0,White,0,0,,0.0,1.0,1.0,Master's,Business,0,0,0,0
20,Not very involved,Not involved at all,Male,1934.0,White,0,0,,0.0,0.0,0.0,Others,Education,0,0,0,0
21,Not involved at all,Somewhat involved,Female,1972.0,White,3,1,30.0,0.0,1.0,1.0,J.D.,Law,0,1,1,0
25,Not very involved,Somewhat involved,Female,1985.0,White,0,0,,1.0,0.0,0.0,Bachelor's,Social Sciences,0,0,0,0
26,Not involved at all,Somewhat involved,Female,1974.0,White,0,0,,0.0,0.0,0.0,Master's,Humanities,0,0,0,0
32,Not involved at all,Not involved at all,Female,1980.0,White,0,0,,0.0,1.0,0.0,Master's,Social Sciences,0,0,0,0
33,Very involved,Not very involved,Male,1989.0,White,1,1,22.0,0.0,1.0,1.0,Bachelor's,Business,0,1,0,0
38,Not very involved,Not very involved,Male,1931.0,White,1,1,62.0,0.0,1.0,1.0,J.D.,Law,1,0,1,0
41,Somewhat involved,Not very involved,Male,1930.0,White,0,0,,1.0,0.0,0.0,Ph.D.,Sciences,0,0,0,0
42,Not involved at all,Very involved,Female,1927.0,White,1,1,51.0,1.0,1.0,1.0,Master's,Education,1,1,1,0
43,Not involved at all,Not involved at all,Female,1983.0,White,0,0,,1.0,0.0,0.0,Others,Medicine/Healthcare,0,0,0,0
44,Not involved at all,Not involved at all,Female,1980.0,Black or African American,0,0,,1.0,0.0,0.0,Master's,Engineering,0,0,0,0
46,Not involved at all,Not very involved,Female,1981.0,White,0,0,,0.0,1.0,1.0,Bachelor's,Humanities,0,0,0,0
48,Not involved at all,Not very involved,Female,1984.0,White,1,1,28.0,0.0,1.0,1.0,Bachelor's,Architecture,1,0,0,1
50,Not involved at all,Not very involved,Male,1964.0,White,0,0,,0.0,1.0,1.0,M.D.,Medicine/Healthcare,0,0,0,0
51,Not involved at all,Somewhat involved,Male,1976.0,White,0,0,,0.0,1.0,1.0,Master's,Education,0,0,0,0
52,Not involved at all,Not involved at all,Female,1973.0,White,0,0,,1.0,0.0,0.0,Master's,Business,0,0,0,0
53,Not involved at all,Very involved,Female,1970.0,White,0,0,,0.0,0.0,0.0,Ph.D.,Engineering,0,0,0,0
55,Not very involved,Not involved at all,Female,1989.0,Hispanic or Latino,0,0,,1.0,0.0,1.0,Bachelor's,Social Sciences,0,0,0,0
58,Not very involved,Not very involved,Male,1983.0,White,0,0,,1.0,1.0,1.0,Bachelor's,Engineering,0,0,0,0
60,Not involved at all,Somewhat involved,Female,1969.0,White,0,0,,1.0,1.0,1.0,Master's,Public Policy,0,0,0,0
63,Not very involved,Not very involved,Female,1971.0,White,0,0,,1.0,0.0,1.0,Bachelor's,Social Sciences,0,0,0,0
65,Not involved at all,Not involved at all,Female,1985.0,White,0,0,,1.0,0.0,1.0,Bachelor's,Sciences,0,0,0,0
66,Not involved at all,Very involved,Male,1978.0,White,0,0,,1.0,0.0,0.0,Ph.D.,Sciences,0,0,0,0
67,Not involved at all,Very involved,Female,1979.0,White,0,0,,1.0,1.0,1.0,Master's,Education,0,0,0,0
68,Not involved at all,Not involved at all,Male,1973.0,White,0,0,,1.0,0.0,1.0,M.D.,Sciences,0,0,0,0
70,Not involved at all,Not very involved,Male,1974.0,Asian,0,0,,1.0,1.0,0.0,J.D.,Law,0,0,0,0
73,Not very involved,Somewhat involved,Male,1960.0,White,0,0,,1.0,1.0,0.0,Bachelor's,Education,0,0,0,0
74,Not very involved,Somewhat involved,Female,1988.0,White,0,0,,0.0,0.0,1.0,Master's,Social Sciences,0,0,0,0
75,Very involved,Very involved,Male,1950.0,White,0,0,,1.0,1.0,1.0,Master's,Sciences,0,0,0,0
